Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Estimated time,Actual time,Priority,Task Progress,Iteration_01,Iteration_02,Iteration_03,Iteration_04,iteration_05,Average,Perf_BRD,Deviation % Current Vs BRD,GREEN,YELLOW,RED,Devices,Previous Value,BRD Status,Deviation % Current vs Previous,Previous Status,Tester Remark,Logs Link,Audited By,Auditor N-points elapsed time (h:m),DA Value,Auditor Pass,iteration_06,iteration_07,iteration_08,iteration_09,iteration_10,Iteration count
,,,,Test Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,P1 Barolo,Test Execution,,,,,,,Kindle Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Time to Launch store from Home (Re-Open)- Wi-Fi,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,1.64,,,,,Barolo,1.67,,,,,,,,,,,,,,,
,,,,"Time taken in Store – Category of books, next page turn (Cached)",Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,0.54,,,,,Barolo,0.54,,,,,,,,,,,,,,,
,,,,"Time taken in Store – Category of books, prev page turn (Cached)",Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,0.53,,,,,Barolo,0.54,,,,,,,,,,,,,,,
,,,,Time taken to Open the book from the sidekick card,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,NA,,,,,Barolo,NA,,,,,,,,,,,,,,,
,,,,Time taken to launch Home page on clicking Start reading from the Profile picker page. (With cover image loaded),Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,NA,,,,,Barolo,NA,,,,,,,,,,,,,,,
,,,,Time to launch browser from home (after reboot),Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,12.57,,,,,Barolo,12.54,,,,,,,,,,,,,,,
,,,,Time to close Browser and return to Home Screen,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,1.45,,,,,Barolo,1.91,,,,,,,,,,,,,,,
,,,,Time taken to open Browser Settings,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,1.21,,,,,Barolo,1.24,,,,,,,,,,,,,,,
,,,,Time to switch from eBook to Browser,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,14.05,,,,,Barolo,14.53,,,,,,,,,,,,,,,
,,,,Time to switch from settings to browser,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,6.05,,,,,Barolo,6.25,,,,,,,,,,,,,,,
,,,,Time to load browser(amazon.com) from home.,Test Execution,,,,,,,Kindle Performance,P1 Barolo,,,00:30:00,,P1,,,,,,,,1.5,,,,,Barolo,1.54,,,,,,,,,,,,,,,
